"student","Name","java.lang.String","false","null","null","A","zzzzzzzzz"
"student","ID","java.lang.Integer","true","null","null","0","1000"
"student","GPA","java.lang.Double","false","null","null","0.0","5.0"
"aa4503668299","age","java.lang.Integer","false","null","null","1","100"
"aa4503668299","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa4503668299","id","java.lang.Integer","true","null","null","0","10000"
"aa2614651282","age","java.lang.Integer","false","null","null","1","100"
"aa2614651282","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa2614651282","id","java.lang.Integer","true","null","null","0","10000"
"aa3833473273","age","java.lang.Integer","false","null","null","1","100"
"aa3833473273","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa3833473273","id","java.lang.Integer","true","null","null","0","10000"
"aa5321540847","age","java.lang.Integer","false","null","null","1","100"
"aa5321540847","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa5321540847","id","java.lang.Integer","true","null","null","0","10000"
"aa24422858","age","java.lang.Integer","false","null","null","1","100"
"aa24422858","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa24422858","id","java.lang.Integer","true","null","null","0","10000"
"aa992323035","age","java.lang.Integer","false","idagename","Octree","1","100"
"aa992323035","name","java.lang.String","false","idagename","Octree","aaaaa","zzzzz"
"aa992323035","id","java.lang.Integer","true","idagename","Octree","0","10000"
"aa624064296","age","java.lang.Integer","false","agenameid","Octree","1","100"
"aa624064296","name","java.lang.String","false","agenameid","Octree","aaaaa","zzzzz"
"aa624064296","id","java.lang.Integer","true","agenameid","Octree","0","10000"
"aa363973877","age","java.lang.Integer","false","null","null","1","100"
"aa363973877","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa363973877","id","java.lang.Integer","true","null","null","0","10000"
"aa1341693272","age","java.lang.Integer","false","null","null","1","100"
"aa1341693272","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa1341693272","id","java.lang.Integer","true","null","null","0","10000"
"aa612849713","age","java.lang.Integer","false","null","null","1","100"
"aa612849713","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa612849713","id","java.lang.Integer","true","null","null","0","10000"
"aa8216253475","age","java.lang.Integer","false","agenameid","Octree","1","100"
"aa8216253475","name","java.lang.String","false","agenameid","Octree","aaaaa","zzzzz"
"aa8216253475","id","java.lang.Integer","true","agenameid","Octree","0","10000"
"aa6017912582","age","java.lang.Integer","false","null","null","1","100"
"aa6017912582","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa6017912582","id","java.lang.Integer","true","null","null","0","10000"
"aa5509361203","age","java.lang.Integer","false","null","null","1","100"
"aa5509361203","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa5509361203","id","java.lang.Integer","true","null","null","0","10000"
"aa3081955531","age","java.lang.Integer","false","agenameid","Octree","1","100"
"aa3081955531","name","java.lang.String","false","agenameid","Octree","aaaaa","zzzzz"
"aa3081955531","id","java.lang.Integer","true","agenameid","Octree","0","10000"
"aa7557999759","age","java.lang.Integer","false","null","null","1","100"
"aa7557999759","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa7557999759","id","java.lang.Integer","true","null","null","0","10000"
"aa8446860746","age","java.lang.Integer","false","null","null","1","100"
"aa8446860746","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa8446860746","id","java.lang.Integer","true","null","null","0","10000"
"aa8357812289","age","java.lang.Integer","false","null","null","1","100"
"aa8357812289","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa8357812289","id","java.lang.Integer","true","null","null","0","10000"
"aa1448045090","age","java.lang.Integer","false","null","null","1","100"
"aa1448045090","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa1448045090","id","java.lang.Integer","true","null","null","0","10000"
"aa7658726292","age","java.lang.Integer","false","idagename","Octree","1","100"
"aa7658726292","name","java.lang.String","false","idagename","Octree","aaaaa","zzzzz"
"aa7658726292","id","java.lang.Integer","true","idagename","Octree","0","10000"
"aa4533080036","age","java.lang.Integer","false","null","null","1","100"
"aa4533080036","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa4533080036","id","java.lang.Integer","true","null","null","0","10000"
"aa6946068173","age","java.lang.Integer","false","null","null","1","100"
"aa6946068173","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa6946068173","id","java.lang.Integer","true","null","null","0","10000"
"aa6954815949","age","java.lang.Integer","false","null","null","1","100"
"aa6954815949","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa6954815949","id","java.lang.Integer","true","null","null","0","10000"
"aa5062772041","age","java.lang.Integer","false","null","null","1","100"
"aa5062772041","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa5062772041","id","java.lang.Integer","true","null","null","0","10000"
"aa3908044291","age","java.lang.Integer","false","null","null","1","100"
"aa3908044291","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa3908044291","id","java.lang.Integer","true","null","null","0","10000"
"aa1162173368","age","java.lang.Integer","false","null","null","1","100"
"aa1162173368","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa1162173368","id","java.lang.Integer","true","null","null","0","10000"
"aa229015575","age","java.lang.Integer","false","agenameid","Octree","1","100"
"aa229015575","name","java.lang.String","false","agenameid","Octree","aaaaa","zzzzz"
"aa229015575","id","java.lang.Integer","true","agenameid","Octree","0","10000"
"aa218665167","age","java.lang.Integer","false","null","null","1","100"
"aa218665167","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa218665167","id","java.lang.Integer","true","null","null","0","10000"
"aa6817865724","age","java.lang.Integer","false","null","null","1","100"
"aa6817865724","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa6817865724","id","java.lang.Integer","true","null","null","0","10000"
"aa3130082039","age","java.lang.Integer","false","idagename","Octree","1","100"
"aa3130082039","name","java.lang.String","false","idagename","Octree","aaaaa","zzzzz"
"aa3130082039","id","java.lang.Integer","true","idagename","Octree","0","10000"
"aa3531829017","age","java.lang.Integer","false","null","null","1","100"
"aa3531829017","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa3531829017","id","java.lang.Integer","true","null","null","0","10000"
"aa968765731","age","java.lang.Integer","false","null","null","1","100"
"aa968765731","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa968765731","id","java.lang.Integer","true","null","null","0","10000"
"aa4461431890","age","java.lang.Integer","false","null","null","1","100"
"aa4461431890","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa4461431890","id","java.lang.Integer","true","null","null","0","10000"
"aa7337354772","age","java.lang.Integer","false","null","null","1","100"
"aa7337354772","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa7337354772","id","java.lang.Integer","true","null","null","0","10000"
"aa218568614","age","java.lang.Integer","false","null","null","1","100"
"aa218568614","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa218568614","id","java.lang.Integer","true","null","null","0","10000"
"aa773930305","age","java.lang.Integer","false","null","null","1","100"
"aa773930305","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa773930305","id","java.lang.Integer","true","null","null","0","10000"
"aa7150657223","age","java.lang.Integer","false","null","null","1","100"
"aa7150657223","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa7150657223","id","java.lang.Integer","true","null","null","0","10000"
"aa6678420417","age","java.lang.Integer","false","null","null","1","100"
"aa6678420417","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa6678420417","id","java.lang.Integer","true","null","null","0","10000"
"aa5240862072","age","java.lang.Integer","false","null","null","1","100"
"aa5240862072","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa5240862072","id","java.lang.Integer","true","null","null","0","10000"
"aa1999516058","age","java.lang.Integer","false","null","null","1","100"
"aa1999516058","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa1999516058","id","java.lang.Integer","true","null","null","0","10000"
"aa4860347989","age","java.lang.Integer","false","null","null","1","100"
"aa4860347989","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa4860347989","id","java.lang.Integer","true","null","null","0","10000"
"aa2109983072","age","java.lang.Integer","false","null","null","1","100"
"aa2109983072","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa2109983072","id","java.lang.Integer","true","null","null","0","10000"
"aa75125252","age","java.lang.Integer","false","idagename","Octree","1","100"
"aa75125252","name","java.lang.String","false","idagename","Octree","aaaaa","zzzzz"
"aa75125252","id","java.lang.Integer","true","idagename","Octree","0","10000"
"aa9328266914","age","java.lang.Integer","false","null","null","1","100"
"aa9328266914","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa9328266914","id","java.lang.Integer","true","null","null","0","10000"
"aa723974476","age","java.lang.Integer","false","null","null","1","100"
"aa723974476","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa723974476","id","java.lang.Integer","true","null","null","0","10000"
"aa6112179302","age","java.lang.Integer","false","null","null","1","100"
"aa6112179302","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa6112179302","id","java.lang.Integer","true","null","null","0","10000"
"aa7459130969","age","java.lang.Integer","false","null","null","1","100"
"aa7459130969","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa7459130969","id","java.lang.Integer","true","null","null","0","10000"
"aa1072989347","age","java.lang.Integer","false","null","null","1","100"
"aa1072989347","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa1072989347","id","java.lang.Integer","true","null","null","0","10000"
"aa265519251","age","java.lang.Integer","false","null","null","1","100"
"aa265519251","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa265519251","id","java.lang.Integer","true","null","null","0","10000"
"aa2653015653","age","java.lang.Integer","false","null","null","1","100"
"aa2653015653","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa2653015653","id","java.lang.Integer","true","null","null","0","10000"
"aa5571210157","age","java.lang.Integer","false","null","null","1","100"
"aa5571210157","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa5571210157","id","java.lang.Integer","true","null","null","0","10000"
